timestamp,mac,rssi
2025-04-21T22:26:16Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:26:19Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:26:20Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:26:21Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:26:22Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:26:23Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:26:24Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:26:25Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:26:26Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:26:27Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:26:29Z,88:c6:26:3f:3b:75,-88
2025-04-21T22:26:30Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:26:31Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:26:32Z,88:c6:26:3f:3b:75,-88
2025-04-21T22:26:33Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:26:34Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:26:35Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:26:36Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:26:37Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:26:38Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:26:40Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:26:41Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:26:42Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:26:43Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:26:44Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:26:45Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:26:46Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:26:47Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:26:49Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:26:50Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:26:52Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:26:53Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:26:56Z,88:c6:26:3f:3b:75,-88
2025-04-21T22:26:57Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:26:59Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:27:00Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:27:01Z,88:c6:26:3f:3b:75,-84
2025-04-21T22:27:03Z,88:c6:26:3f:3b:75,-88
2025-04-21T22:27:05Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:27:06Z,88:c6:26:3f:3b:75,-87
2025-04-21T22:27:07Z,88:c6:26:3f:3b:75,-85
2025-04-21T22:27:09Z,88:c6:26:3f:3b:75,-89
2025-04-21T22:27:10Z,88:c6:26:3f:3b:75,-83
2025-04-21T22:27:11Z,88:c6:26:3f:3b:75,-86
2025-04-21T22:27:12Z,88:c6:26:3f:3b:75,-85
